Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
MCALLISTER AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,5,49.262831,-122.781134
MCLEAN AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,5,49.253429,-122.773619
BEAUMARIS CLOSE & COAST MERIDIAN RD & COQUITLAM AVE,Casualty,PORT COQUITLAM,2018,6,49.26743,-122.756119
COAST MERIDIAN RD & MARY HILL BYPASS & TURNING LANE,Casualty,PORT COQUITLAM,2018,6,49.24374,-122.756068
OXFORD ST & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,6,49.271171,-122.767175
PITT RIVER RD & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,6,49.254583,-122.782641
HAWKINS ST & SHERLING AVE & VILLAGE DR,Casualty,PORT COQUITLAM,2018,7,49.253617,-122.738403
LOUGHEED HWY & MARY HILL BYPASS & MARY HILL BYPASS OFFRAMP,Casualty,PORT COQUITLAM,2018,7,49.250416,-122.735771
PRAIRIE AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,7,49.271224,-122.775291
SHAUGHNESSY ST & WILSON AVE,Casualty,PORT COQUITLAM,2018,7,49.260879,-122.782688
CEDAR DR & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,8,49.271239,-122.739761
KINGSWAY AVE & MAPLE ST,Casualty,PORT COQUITLAM,2018,8,49.264988,-122.781072
COAST MERIDIAN RD & RIVERWOOD GATE & ROBERTSON AVE,Casualty,PORT COQUITLAM,2018,9,49.262726,-122.756072
DOMINION AVE & LOUGHEED HWY & TURNING LANE,Casualty,PORT COQUITLAM,2018,9,49.258205,-122.75309
ELGIN AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,9,49.26362,-122.780357
COAST MERIDIAN RD & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,10,49.250047,-122.755963
LIONS WAY & SHAUGHNESSY ST & MALL ACCESS,Casualty,PORT COQUITLAM,2018,10,49.266106,-122.777793
CHRISTMAS WAY & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,12,49.271863,-122.790555
KINGSWAY AVE & MCLEAN AVE & TURNING LANE,Casualty,PORT COQUITLAM,2018,12,49.253573,-122.764023
HASTINGS ST & LOUGHEED HWY & TURNING LANE,Casualty,PORT COQUITLAM,2018,13,49.270082,-122.782324
BROADWAY ST & COAST MERIDIAN OVERPASS & KINGSWAY AVE & TURNING LANE,Casualty,PORT COQUITLAM,2018,14,49.252845,-122.762324
COAST MERIDIAN RD & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,14,49.271192,-122.756124
LOUGHEED HWY & OTTAWA ST & TURNING LANE,Casualty,PORT COQUITLAM,2018,14,49.255475,-122.747715
FREMONT ST & FREMONT ST CONN & LOUGHEED HWY & LOUGHEED HWY ONRAMP & MARY HILL BYPASS & MARY HILL BYPASS OFFRAMP & MARY HILL BYPASS ONRAMP & PITT RIVER BRIDGE & TURNING LANE,Casualty,PORT COQUITLAM,2018,15,49.250147,-122.735474
KINGSWAY AVE & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,16,49.265176,-122.79085
KINGSWAY AVE & MARY HILL BYPASS & TURNING LANE,Casualty,PORT COQUITLAM,2018,24,49.246496,-122.748006
COAST MERIDIAN CONN & COAST MERIDIAN OVERPASS & COAST MERIDIAN RD & LOUGHEED HWY & LOUGHEED MERIDIAN RD & ACCESS ROAD & INDUSTRIAL ACCESS ROAD & MALL ACCESS & TURNING LANE,Casualty,PORT COQUITLAM,2018,26,49.259848,-122.756931
LOUGHEED HWY & OXFORD CONN & OXFORD ST & TURNING LANE,Casualty,PORT COQUITLAM,2018,27,49.263719,-122.767413
MARY HILL BYPASS & PITT RIVER RD & TURNING LANE,Casualty,PORT COQUITLAM,2018,48,49.234608,-122.769488
LOUGHEED HWY & SHAUGHNESSY ST & TURNING LANE,Casualty,PORT COQUITLAM,2018,52,49.267482,-122.77645
LOUGHEED HWY & WESTWOOD ST & TURNING LANE,Casualty,PORT COQUITLAM,2018,55,49.27352,-122.790547
ARGUE ST & MARY HILL BYPASS & SHAUGHNESSY ST & TURNING LANE,Casualty,PORT COQUITLAM,2018,65,49.227198,-122.795647
BROADWAY ST & MARY HILL BYPASS & TURNING LANE,Casualty,PORT COQUITLAM,2018,115,49.240773,-122.761896
AMAZON ST & RIVERWOOD GATE,Casualty,PORT COQUITLAM,2019,1,49.263948,-122.74701
